Plataforma,Dirección,Zona,Tipo,Descripción
rappi,Polanco - Alto Ingreso,premium,promotion,20% de descuento en tu primer pedido
rappi,Polanco - Alto Ingreso,premium,promotion,$50 de descuento con código RAPPI50
rappi,Polanco - Alto Ingreso,premium,promotion,Rappi Prime: envío gratis ilimitado
rappi,Condesa - Alto Ingreso,premium,promotion,Envío gratis en pedidos +$200
rappi,Condesa - Alto Ingreso,premium,promotion,Rappi Prime: envío gratis ilimitado
rappi,Condesa - Alto Ingreso,premium,promotion,$50 de descuento con código RAPPI50
rappi,Condesa - Alto Ingreso,premium,promotion,2x1 en combos seleccionados
rappi,Roma Norte - Alto Ingreso,premium,promotion,2x1 en combos seleccionados
rappi,Roma Norte - Alto Ingreso,premium,promotion,Envío gratis en pedidos +$200
rappi,Roma Norte - Alto Ingreso,premium,promotion,Rappi Prime: envío gratis ilimitado
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,Rappi Prime: envío gratis ilimitado
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,20% de descuento en tu primer pedido
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,promotion,2x1 en combos seleccionados
rappi,Lomas de Chapultepec - Alto Ingreso,premium,promotion,$50 de descuento con código RAPPI50
rappi,Del Valle Centro - Clase Media Alta,middle_high,promotion,Envío gratis en pedidos +$200
rappi,Narvarte - Clase Media,middle,promotion,2x1 en combos seleccionados
rappi,Narvarte - Clase Media,middle,promotion,Rappi Prime: envío gratis ilimitado
rappi,Coyoacán Centro - Clase Media,middle,promotion,Envío gratis en pedidos +$200
rappi,Coyoacán Centro - Clase Media,middle,promotion,2x1 en combos seleccionados
rappi,Coyoacán Centro - Clase Media,middle,promotion,Rappi Prime: envío gratis ilimitado
rappi,Coyoacán Centro - Clase Media,middle,promotion,$50 de descuento con código RAPPI50
rappi,Tlalpan Centro - Clase Media,middle,promotion,Rappi Prime: envío gratis ilimitado
rappi,Coapa - Clase Media,middle,promotion,20% de descuento en tu primer pedido
rappi,Coapa - Clase Media,middle,promotion,2x1 en combos seleccionados
rappi,Coapa - Clase Media,middle,promotion,Envío gratis en pedidos +$200
rappi,Coapa - Clase Media,middle,promotion,$50 de descuento con código RAPPI50
rappi,Reforma - Zona de Oficinas,business,promotion,2x1 en combos seleccionados
rappi,Reforma - Zona de Oficinas,business,promotion,$50 de descuento con código RAPPI50
rappi,Reforma - Zona de Oficinas,business,promotion,Envío gratis en pedidos +$200
rappi,Insurgentes Sur - Zona de Oficinas,business,promotion,2x1 en combos seleccionados
rappi,Centro Histórico,commercial,promotion,2x1 en combos seleccionados
rappi,Centro Histórico,commercial,promotion,Rappi Prime: envío gratis ilimitado
rappi,Centro Histórico,commercial,promotion,$50 de descuento con código RAPPI50
rappi,Centro Histórico,commercial,promotion,20% de descuento en tu primer pedido
rappi,Zona Rosa,commercial,promotion,Rappi Prime: envío gratis ilimitado
rappi,Lindavista - Clase Media,middle,promotion,Envío gratis en pedidos +$200
rappi,Lindavista - Clase Media,middle,promotion,20% de descuento en tu primer pedido
rappi,Lindavista - Clase Media,middle,promotion,Rappi Prime: envío gratis ilimitado
rappi,Pedregal - Alto Ingreso,premium,promotion,20% de descuento en tu primer pedido
rappi,Pedregal - Alto Ingreso,premium,promotion,$50 de descuento con código RAPPI50
rappi,Pedregal - Alto Ingreso,premium,promotion,2x1 en combos seleccionados
rappi,Iztapalapa Centro - Popular,popular,promotion,$50 de descuento con código RAPPI50
